Date,Open,High,Low,Close,Volume,Bitcoin,BTC,Blockchain,Cryptocurrency,Iota
12/12/2017 16:59,17055.0,17199.0,16999.17,17110.97,810.716,49,41,65,71,41
12/12/2017 17:59,17110.97,17169.59,17016.11,17169.59,700.034,50,42,66,71,43
12/12/2017 18:59,17169.59,17428.42,17169.59,17254.45,1133.645,51,43,67,76,43
12/12/2017 19:59,17257.6,17350.0,17084.17,17259.0,612.813,53,46,64,82,48
12/12/2017 20:59,17259.0,17350.0,17000.0,17030.0,532.14,48,45,59,81,47
12/12/2017 21:59,17008.15,17253.96,17008.15,17044.95,613.049,46,43,56,80,37
12/12/2017 22:59,17033.98,17200.0,16999.17,17046.96,565.134,45,43,53,83,37
12/12/2017 23:59,17046.96,17047.0,16615.02,16650.01,747.078,45,44,55,89,41
13-12-17 0:59,16650.01,16997.91,16650.0,16979.47,465.233,45,47,58,95,41
13-12-17 1:59,16979.47,16999.17,16765.0,16975.0,532.985,44,49,55,100,41
13-12-17 2:59,16975.0,17084.17,16288.23,16454.56,1241.803,40,47,54,85,39
13-12-17 3:59,16454.56,16663.4,16401.83,16487.93,794.448,37,44,55,71,41
13-12-17 4:59,16487.93,16516.56,16200.0,16429.99,705.62,35,40,53,64,42
13-12-17 5:59,16429.99,16700.0,16429.98,16637.91,514.894,33,39,56,59,41
13-12-17 6:59,16637.91,16637.91,16415.93,16529.98,359.931,31,37,55,55,40
13-12-17 7:59,16529.97,16530.0,16415.93,16486.62,451.725,30,36,51,52,37
13-12-17 8:59,16486.62,16640.0,16415.93,16560.0,717.682,30,33,50,52,35
13-12-17 9:59,16560.0,16560.0,16300.0,16500.0,627.17,30,32,49,53,33
13-12-17 10:59,16500.0,16560.0,16419.16,16507.01,687.092,30,31,47,56,33
13-12-17 11:59,16505.85,16559.0,16385.0,16559.0,493.38,32,31,48,58,33
13-12-17 12:59,16557.71,17107.03,16556.74,16989.95,847.595,34,34,49,59,33
13-12-17 13:59,16989.92,17099.98,16880.02,16905.87,530.261,41,39,49,62,33
13-12-17 14:59,16905.9,17081.35,16880.0,16929.13,310.832,39,38,53,62,33
13-12-17 15:59,16929.86,16989.0,16673.2,16705.01,677.4739999999999,37,33,49,59,33
13-12-17 16:59,16705.01,16799.0,16430.0,16525.47,661.722,36,32,51,62,34
13-12-17 17:59,16525.11,16568.4,16150.0,16290.1,1207.653,37,32,50,63,36
13-12-17 18:59,16297.93,16297.93,15497.69,15999.5,2226.795,37,34,52,67,35
13-12-17 19:59,15999.5,16286.01,15852.69,16271.0,905.8989999999999,38,34,52,72,34
13-12-17 20:59,16271.0,16349.99,15936.93,16028.0,738.803,39,34,49,71,31
13-12-17 21:59,16027.98,16480.0,15963.02,16480.0,618.72,39,37,45,72,29
13-12-17 22:59,16473.49,16498.0,16200.0,16335.36,429.89300000000003,38,38,43,70,27
13-12-17 23:59,16335.41,16392.76,16011.61,16250.0,405.635,45,44,45,82,28
14-12-17 0:59,16245.02,16494.94,16081.55,16458.81,336.838,46,48,45,83,29
14-12-17 1:59,16458.81,16458.81,16027.17,16250.29,437.85,42,47,50,77,27
14-12-17 2:59,16250.29,16252.99,15908.14,15955.29,669.6489999999999,38,44,48,67,28
14-12-17 3:59,15955.29,16000.0,15852.69,15999.0,373.99199999999996,35,42,49,62,29
14-12-17 4:59,15962.03,16246.91,15922.36,16149.95,543.827,35,40,49,55,30
14-12-17 5:59,16149.66,16229.06,16032.11,16180.0,383.397,32,37,48,50,31
14-12-17 6:59,16161.01,16334.26,16113.42,16129.95,380.515,30,35,47,47,30
14-12-17 7:59,16145.0,16390.0,16100.0,16390.0,250.648,29,33,45,45,29
14-12-17 8:58,16390.0,16830.45,16390.0,16553.0,1049.72,29,31,45,44,27
14-12-17 9:59,16553.0,16649.0,16334.26,16334.32,435.61800000000005,29,30,42,46,26
14-12-17 10:59,16344.88,16649.0,16252.99,16560.0,407.086,31,32,44,48,26
14-12-17 11:59,16560.0,16590.01,16334.26,16569.99,383.292,31,31,45,50,26
14-12-17 12:59,16569.99,16748.0,16500.0,16639.0,563.387,31,30,45,49,26
14-12-17 13:59,16638.39,16720.0,16415.93,16511.5,737.41,32,29,44,50,27
14-12-17 14:59,16534.95,16534.99,16172.13,16200.08,663.497,32,29,46,52,29
14-12-17 15:59,16198.26,16334.26,16011.61,16307.77,905.2710000000001,34,29,50,53,29
14-12-17 16:59,16307.77,16431.01,16241.18,16363.06,553.953,34,30,50,54,31
14-12-17 17:59,16363.06,16535.0,16285.29,16415.0,873.1439999999999,36,32,48,56,32
14-12-17 18:59,16404.27,16600.0,16286.46,16351.39,835.421,41,35,50,62,32
14-12-17 19:59,16351.39,16450.0,16310.0,16391.41,652.885,48,41,48,65,28
14-12-17 20:59,16421.6,16470.0,16255.0,16299.74,394.626,41,37,48,64,25
14-12-17 21:59,16299.74,16415.93,16072.73,16329.93,847.773,41,40,46,68,23
14-12-17 22:59,16329.91,16459.99,16259.73,16375.0,336.67900000000003,42,42,50,70,23
14-12-17 23:59,16375.0,16415.0,16213.88,16404.99,396.519,45,49,51,78,26
15-12-17 0:59,16404.99,16880.0,16337.19,16800.0,1282.042,44,49,55,79,27
15-12-17 1:59,16800.0,16998.29,16694.34,16801.85,986.047,42,48,55,70,28
15-12-17 2:59,16816.6,17428.42,16700.01,17220.01,1542.0720000000001,40,48,57,64,31
15-12-17 3:59,17245.64,17312.99,16914.6,17049.93,964.9060000000001,39,46,59,55,33
15-12-17 4:59,17052.43,17207.45,16851.62,17155.3,473.086,38,44,60,52,34
15-12-17 5:59,17139.99,17280.0,17077.3,17150.0,472.91900000000004,36,42,63,48,33
15-12-17 6:59,17150.0,17235.0,17085.0,17150.0,503.171,35,39,57,46,31
15-12-17 7:59,17150.0,17165.46,16811.0,16811.66,885.071,35,37,56,45,30
15-12-17 8:59,16811.21,17170.0,16680.0,17170.0,786.435,36,36,56,46,29
15-12-17 9:59,17170.0,17500.0,17141.76,17450.11,1044.481,36,35,56,47,28
15-12-17 10:59,17450.15,17751.27,17428.42,17556.25,1194.751,37,35,58,51,28
15-12-17 11:59,17556.18,17888.0,17542.98,17853.12,728.323,38,35,62,53,29
15-12-17 12:59,17874.98,17934.0,17700.1,17790.96,655.251,38,34,60,58,29
15-12-17 13:59,17808.91,17838.0,17516.22,17800.0,1060.6019999999999,38,33,60,61,30
15-12-17 14:59,17800.0,17868.51,17603.14,17603.14,749.477,39,33,62,67,32
15-12-17 15:59,17619.22,17650.0,17410.53,17499.9,740.985,41,34,63,68,34
15-12-17 16:59,17497.4,17600.0,17440.76,17544.6,909.941,44,40,69,71,36
15-12-17 17:59,17544.6,17602.0,17470.1,17599.98,754.1189999999999,47,39,73,78,39
15-12-17 18:59,17599.62,17750.0,17422.11,17749.0,845.5319999999999,49,41,71,95,40
15-12-17 19:59,17749.0,17799.0,17515.57,17613.99,478.959,46,41,68,100,39
15-12-17 20:59,17601.0,17698.0,17547.06,17598.95,349.719,42,38,58,97,33
15-12-17 21:59,17599.47,17604.34,17184.4,17399.0,986.5039999999999,94,82,69,63,69
15-12-17 22:59,17389.22,17500.0,17111.0,17500.0,453.45,92,82,70,66,64
15-12-17 23:59,17478.05,17603.14,17381.41,17471.5,193.649,97,89,73,79,67
16-12-17 0:59,17477.98,17500.0,17396.86,17434.53,170.65200000000002,94,92,80,79,66
16-12-17 1:59,17434.53,17511.73,17341.72,17469.61,169.532,91,96,73,74,64
16-12-17 2:59,17469.54,17501.0,17366.33,17413.31,175.97,88,97,73,68,68
16-12-17 3:59,17413.26,17492.37,17269.99,17295.0,156.792,87,100,75,58,69
16-12-17 4:59,17295.0,17511.73,17295.0,17462.17,65.038,78,88,74,49,88
16-12-17 5:59,17451.68,17567.88,17443.46,17522.76,127.134,77,89,77,45,85
16-12-17 6:59,17522.78,17706.71,17522.71,17706.71,255.012,73,83,80,41,81
16-12-17 7:59,17706.65,17819.0,17646.33,17819.0,413.755,71,80,75,40,88
16-12-17 8:59,17818.98,17839.99,17638.98,17839.99,196.612,71,76,68,41,82
16-12-17 9:59,17830.01,17845.0,17768.17,17844.96,180.709,74,75,74,46,78
16-12-17 10:59,17844.99,17895.0,17691.16,17770.0,464.958,79,79,80,52,76
16-12-17 11:59,17770.0,17998.78,17722.03,17985.0,408.07800000000003,86,84,86,67,87
16-12-17 12:59,17985.0,18019.84,17905.32,18010.88,401.088,88,84,89,72,88
16-12-17 13:59,18010.88,18362.0,18004.78,18362.0,884.545,92,83,90,77,88
16-12-17 14:59,18366.0,18500.0,18202.0,18498.9,494.39099999999996,89,79,88,76,89
16-12-17 15:59,18498.9,18800.0,18337.0,18799.99,702.8839999999999,92,81,89,77,88
16-12-17 16:59,18788.98,18866.66,18503.37,18769.99,784.4680000000001,92,79,86,77,90
16-12-17 17:59,18769.9,18860.0,18595.89,18796.33,436.154,94,80,88,81,95
16-12-17 18:59,18796.33,18798.46,18600.0,18727.47,215.43099999999998,98,84,95,89,100
16-12-17 19:59,18730.0,19175.0,18717.5,19170.0,910.688,100,91,100,98,96
16-12-17 20:59,19175.0,19264.38,18970.61,19112.38,606.66,99,92,94,100,93
16-12-17 21:59,19112.38,19135.0,18970.61,19100.07,478.325,95,91,84,100,84
16-12-17 22:59,19092.29,19189.9,18825.0,19180.03,591.165,91,87,77,97,74
16-12-17 23:59,19148.57,19377.0,19148.46,19187.78,471.37199999999996,91,90,78,98,68
17-12-17 0:59,19187.78,19246.99,18970.61,19078.42,320.998,89,91,77,93,64
17-12-17 1:59,19091.74,19162.9,18821.67,18988.33,328.35,89,95,76,91,66
17-12-17 2:59,18983.0,19162.68,18873.91,19074.53,214.457,85,97,77,83,71
17-12-17 3:59,19074.53,19249.94,19034.09,19064.21,176.75799999999998,78,94,76,73,72
17-12-17 4:59,19064.17,19143.61,18970.61,19007.59,143.412,75,89,78,63,72
17-12-17 5:59,19018.35,19288.84,19000.0,19276.0,163.645,75,86,79,58,74
17-12-17 6:59,19288.0,19350.0,19233.9,19335.0,207.84599999999998,68,81,79,52,67
17-12-17 7:59,19329.38,19484.98,19326.33,19462.97,463.255,66,78,77,50,69
17-12-17 8:59,19479.99,19480.0,19256.59,19299.0,319.019,69,76,73,49,69
17-12-17 9:59,19299.0,19434.3,19256.59,19434.3,201.49400000000003,68,75,71,52,65
17-12-17 10:59,19434.3,19494.73,19305.76,19494.73,244.997,69,72,76,53,62
17-12-17 11:59,19494.67,19546.89,19400.66,19546.88,286.47700000000003,71,72,82,59,62
17-12-17 12:59,19546.88,19666.0,19352.87,19377.22,400.51300000000003,72,72,84,65,65
17-12-17 13:59,19372.47,19644.62,19353.77,19530.01,206.595,73,70,84,65,65
17-12-17 14:59,19530.0,19530.01,19101.0,19255.58,538.66,75,68,75,68,64
17-12-17 15:59,19255.57,19333.08,18965.0,19234.56,596.571,82,72,77,68,75
17-12-17 16:59,19246.05,19250.0,18876.22,18975.31,760.455,77,68,76,66,70
17-12-17 17:59,19024.9,19141.53,18900.0,19061.91,423.07800000000003,78,69,76,69,72
17-12-17 18:59,19050.0,19115.04,18660.0,18681.19,427.505,77,71,81,71,76
17-12-17 19:59,18681.19,18997.69,18465.0,18825.0,1046.641,81,76,81,78,73
17-12-17 20:59,18830.0,19175.0,18816.35,18969.99,543.052,80,77,77,80,63
17-12-17 21:59,18969.99,19037.3,18782.31,18851.63,284.46,76,74,70,78,57
17-12-17 22:59,18851.63,19300.0,18800.0,19201.52,568.815,75,74,68,78,49
17-12-17 23:59,19208.06,19310.67,18688.87,18953.0,882.25,76,78,72,81,49
18-12-17 0:59,18953.0,18953.0,18001.0,18001.0,1100.809,76,84,73,84,49
18-12-17 1:59,18001.0,18440.0,17835.2,18388.71,1320.5179999999998,77,92,74,86,50
18-12-17 2:59,18389.37,18971.22,18044.0,18258.66,1330.114,77,94,74,82,57
18-12-17 3:59,18258.89,18614.49,18190.45,18586.87,473.45599999999996,71,91,73,67,58
18-12-17 4:59,18586.87,18877.88,18517.59,18746.89,351.577,66,83,74,60,59
18-12-17 5:59,18746.89,18887.0,18600.0,18886.99,340.898,63,82,76,52,58
18-12-17 6:59,18887.0,18970.61,18794.06,18955.83,289.356,59,75,75,47,56
18-12-17 7:59,18955.83,18959.89,18592.93,18673.25,331.791,58,73,73,45,54
18-12-17 8:59,18673.25,18999.05,18659.23,18988.73,438.606,59,67,69,46,57
18-12-17 9:59,18988.73,18988.75,18690.0,18808.22,378.778,59,64,68,45,51
18-12-17 10:59,18808.99,18935.0,18775.02,18909.12,341.26199999999994,60,63,69,49,50
18-12-17 11:59,18909.12,19164.99,18874.81,19103.98,820.752,62,65,70,56,55
18-12-17 12:59,19119.99,19220.0,18970.61,18999.9,378.94199999999995,65,64,71,60,53
18-12-17 13:59,18999.9,19020.0,18782.31,18832.04,586.862,63,62,71,57,51
